"Date","Record Number","Record Type","Address","Description","Project Name","Expiration Date","Status","Short Notes",
"06/29/2025","HC-BLD-25-0074104","Residential New Construction and Additions","2256 Lesser Goldfinch Dr, Wimauma FL 33598","NEW SFT - LOT 281 (5 OF 6)","VIP/SFT/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074103","Residential New Construction and Additions","2254 Lesser Goldfinch Dr, Wimauma FL 33598","NEW SFT - LOT 280 (4 OF 6)","VIP/SFT/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074102","Residential New Construction and Additions","2252 Lesser Goldfinch Dr, Wimauma FL 33598","NEW SFT - LOT 279 (3 OF 6)","VIP/SFT/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074101","Residential New Construction and Additions","2250 Lesser Goldfinch Dr, Wimauma FL 33598","NEW SFT - LOT 278 (2 OF 6)","VIP/SFT/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074100","Residential New Construction and Additions","2248 Lesser Goldfinch Dr, Wimauma FL 33598","NEW SFT - LOT 277 (1 OF 6)","VIP/SFT/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074099","Residential New Construction and Additions","1525 Serenity Outlook Ct, Lutz FL 33548","NEW SFR - LOT 111","VIP/SFR/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074098","Residential New Construction and Additions","1533 Serenity Outlook Ct, Lutz FL 33548","NEW SFR - LOT 110","VIP/SFR/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074097","Residential New Construction and Additions","18550 Serene Lake Loop, Lutz FL 33548","NEW SFR - LOT 6","VIP / SFR / BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074096","Residential New Construction and Additions","18554 Serene Lake Loop, Lutz FL 33548","NEW SFR - LOT 5","VIP / SFR / BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074095","Residential New Construction and Additions","18562 Serene Lake Loop, Lutz FL 33548","NEW SFR - LOT 4","VIP  l  SFR  l  BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074094","Residential New Construction and Additions","18568 Serene Lake Loop, Lutz FL 33548","NEW SFR - LOT 3","VIP  l  SFR  l  BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074093","Residential New Construction and Additions","18574 Serene Lake Loop, Lutz FL 33548","NEW SFR - LOT 2","VIP  l  SFR  l  BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074092","Residential New Construction and Additions","13192 Garnet Raspberry Ave, Wimauma FL 33598","NEW SFR - LOT 166","CSR/SFR/BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074091","Residential New Construction and Additions","13234 Fluorite Venus Ct, Wimauma FL 33598","NEW SFR - LOT 3","CSR / SFR / BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074090","Residential New Construction and Additions","5840 Purple Finch Ave, Wimauma FL 33598","NEW SFR - LOT 198","CSR / SFR / BLKT LAL","01/03/2026","In Process",,
"06/29/2025","HC-BLD-25-0074089","Residential New Construction and Additions","5821 Yellow Hornbill Ave, Wimauma FL 33598","NEW SFR - LOT 171","CSR / SFR / BLKT LAL","01/03/2026","In Process",,
